;Gene;RNA;ID;Monomer;ID.1;Process;KO index
1107;waaJ;EG11353_RNA;EG11353-MONOMER;Metabolism;;;1336
635;murA;EG11358_RNA;UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER;Metabolism;;;1341
588;menB;EG11368_RNA;NAPHTHOATE-SYN-MONOMER;Metabolism;;;1350
1074;ubiC;EG11369_RNA;CHORPYRLY-MONOMER;Metabolism;;;1351
1073;ubiA;EG11370_RNA;4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER;Metabolism;;;1352
753;pgpC;EG11371_RNA;EG11371-MONOMER;Metabolism;;;1353
1012;tadA;EG11372_RNA;EG11372-MONOMER;Metabolism;;;1354
618;mltF;EG11373_RNA;EG11373-MONOMER;Metabolism;;;1355
309;folK;EG11374_RNA;H2PTERIDINEPYROPHOSPHOKIN-MONOMER;Metabolism;;;1356
308;folE;EG11375_RNA;GTP-CYCLOHYDRO-I-MONOMER;Metabolism;;;1357
771;plsC;EG11377_RNA;1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER;Metabolism;;;1359
49;appB;EG11379_RNA;APPB-MONOMER;Metabolism;;;1361
50;appC;EG11380_RNA;APPC-MONOMER;Metabolism;;;1362
667;nhaB;EG11392_RNA;NHAB-MONOMER;Metabolism;;;1373
1075;ubiD;EG11396_RNA;EG11396-MONOMER;Metabolism;;;1377
1048;treC;EG11402_RNA;TRE6PHYDRO-MONOMER;Metabolism;;;1382
171;cydD;EG11405_RNA;CYDD-MONOMER;Metabolism;;;1385
882;ribC;EG11406_RNA;RIBOFLAVIN-SYN-MONOMER;Metabolism;;;1386
195;dadA;EG11407_RNA;DALADEHYDROGA-MONOMER;Metabolism;;;1387
196;dadX;EG11408_RNA;ALARACECAT-MONOMER;Metabolism;;;1388
545;lpxK;EG11409_RNA;TETRAACYLDISACC4KIN-MONOMER;Metabolism;;;1389
679;nrdD;EG11417_RNA;RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER;Metabolism;;;1396
203;dcd;EG11418_RNA;DCTP-DEAM-MONOMER;Metabolism;;;1397
1110;waaU;EG11423_RNA;EG11423-MONOMER;Metabolism;;;1401
1111;waaY;EG11425_RNA;EG11425-MONOMER;Metabolism;;;1403
1112;waaZ;EG11426_RNA;EG11426-MONOMER;Metabolism;;;1404
1038;tktA;EG11427_RNA;TRANSKETOI-MONOMER;Metabolism;;;1405
1004;sthA;EG11428_RNA;UDHA-MONOMER;Metabolism;;;1406
629;msrA;EG11433_RNA;EG11433-MONOMER;Metabolism;;;1411
24;ahr;EG11436_RNA;EG11436-MONOMER;Metabolism;;;1414
212;def;EG11440_RNA;EG11440-MONOMER;Metabolism;;;1418
354;gcvT;EG11442_RNA;GCVT-MONOMER;Metabolism;;;1420
903;rpiA;EG11443_RNA;RIB5PISOMA-MONOMER;Metabolism;;;1421
968;scpA;EG11444_RNA;METHYLMALONYL-COA-MUT-MONOMER;Metabolism;;;1422
17;acs;EG11448_RNA;ACS-MONOMER;Metabolism;;;1425
869;rffE;EG11451_RNA;UDPGLCNACEPIM-MONOMER;Metabolism;;;1428
870;rffG;EG11453_RNA;DTDPGLUCDEHYDRAT2-MONOMER;Metabolism;;;1430
871;rffH;EG11454_RNA;DTDPGLUCOSEPP2-MONOMER;Metabolism;;;1431
868;rffA;EG11456_RNA;RFFTRANS-MONOMER;Metabolism;;;1433
158;corA;EG11463_RNA;CORA-MONOMER;Metabolism;;;1439
879;rhtC;EG11468_RNA;RHTC-MONOMER;Metabolism;;;1444
1192;yigL;EG11470_RNA;EG11470-MONOMER;Metabolism;;;1446
1076;ubiE;EG11473_RNA;2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER;Metabolism;;;1449
432;hemG;EG11485_RNA;PROTOPORGENOXI-MONOMER;Metabolism;;;1455
736;pdxH;EG11487_RNA;PDXH-MONOMER;Metabolism;;;1457
339;gadB;EG11490_RNA;GLUTDECARBOXB-MONOMER;Metabolism;;;1460
853;qor;EG11492_RNA;QOR-MONOMER;Metabolism;;;1462
728;pabC;EG11493_RNA;ADCLY-MONOMER;Metabolism;;;1463
22;adiA;EG11501_RNA;ARGDECARBOXDEG-MONOMER;Metabolism;;;1471
607;metQ;EG11504_RNA;METQ-MONOMER;Metabolism;;;1474
996;sra;EG11508_RNA;EG11508-MONOMER;Translation;;;1478
796;ppk;EG11510_RNA;PPK-MONOMER;Metabolism;;;1480
1132;yaaH;EG11512_RNA;EG11512-MONOMER;Metabolism;;;1482
385;glpX;EG11517_RNA;EG11517-MONOMER;Metabolism;;;1486
270;fabI;EG11528_RNA;ENOYL-ACP-REDUCT-NADH-MONOMER;Metabolism;;;1496
274;fadD;EG11530_RNA;ACYLCOASYN-MONOMER;Metabolism;;;1498
589;menC;EG11532_RNA;O-SUCCINYLBENZOATE-COA-SYN-MONOMER;Metabolism;;;1500
851;pyrH;EG11539_RNA;UMPKI-MONOMER;Metabolism;;;1507
1115;wrbA;EG11540_RNA;PD01343;Metabolism;;;1508
505;kup;EG11541_RNA;KUP-MONOMER;Metabolism;;;1509
1022;tesA;EG11542_RNA;THIOESTERI-MONOMER;Metabolism;;;1510
430;hemE;EG11543_RNA;UROGENDECARBOX-MONOMER;Metabolism;;;1511
647;nadC;EG11546_RNA;QUINOPRIBOTRANS-MONOMER;Metabolism;;;1514
900;rnt;EG11547_RNA;EG11547-MONOMER;RNA;Decay;;1515
457;hypF;EG11551_RNA;EG11551-MONOMER;Metabolism;;;1518
367;glmM;EG11553_RNA;PHOSGLUCOSAMINEMUT-MONOMER;Metabolism;;;1520
1014;talB;EG11556_RNA;TRANSALDOLB-MONOMER;Metabolism;;;1523
504;kefF;EG11568_RNA;EG11568-MONOMER;Metabolism;;;1534
536;lptD;EG11569_RNA;EG11569-MONOMER;Metabolism;;;1535
514;leuD;EG11575_RNA;LEUD-MONOMER;Metabolism;;;1541
513;leuC;EG11576_RNA;LEUC-MONOMER;Metabolism;;;1542
512;leuB;EG11577_RNA;3-ISOPROPYLMALDEHYDROG-MONOMER;Metabolism;;;1543
352;gcl;EG11583_RNA;GLYOCARBOLIG-MONOMER;Metabolism;;;1548
1023;thiC;EG11585_RNA;THIC-MONOMER;Metabolism;;;1549
1025;thiE;EG11586_RNA;THIE-MONOMER;Metabolism;;;1550
1026;thiF;EG11587_RNA;THIF-MONOMER;Metabolism;;;1551
1027;thiG;EG11589_RNA;THIG-MONOMER;Metabolism;;;1552
1028;thiH;EG11590_RNA;THIH-MONOMER;Metabolism;;;1553
521;lipB;EG11591_RNA;EG11591-MONOMER;Metabolism;;;1554
1182;ygiF;EG11603_RNA;EG11603-MONOMER;Metabolism;;;1565
491;kch;EG11606_RNA;KCH-MONOMER;Metabolism;;;1568
148;clsA;EG11608_RNA;CARDIOLIPSYN-MONOMER;Metabolism;;;1570
804;proP;EG11612_RNA;PROP-MONOMER;Metabolism;;;1574
120;basR;EG11615_RNA;BASR-MONOMER;Transcription;Regulation;;1577
119;baeR;EG11618_RNA;BAER-MONOMER;Transcription;Regulation;;1580
890;rnb;EG11620_RNA;EG11620-MONOMER;RNA;Decay;;1582
606;metN;EG11621_RNA;ABC-MONOMER;Metabolism;;;1583
972;sdaB;EG11623_RNA;LSERINEDEAM2-MONOMER;Metabolism;;;1585
92;artP;EG11624_RNA;ARTP-MONOMER;Metabolism;;;1586
93;artQ;EG11626_RNA;ARTQ-MONOMER;Metabolism;;;1588
91;artM;EG11627_RNA;ARTM-MONOMER;Metabolism;;;1589
90;artJ;EG11628_RNA;ARTJ-MONOMER;Metabolism;;;1590
784;potF;EG11629_RNA;POTF-MONOMER;Metabolism;;;1591
785;potG;EG11630_RNA;POTG-MONOMER;Metabolism;;;1592
786;potH;EG11631_RNA;POTH-MONOMER;Metabolism;;;1593
787;potI;EG11632_RNA;POTI-MONOMER;Metabolism;;;1594
1153;ydeA;EG11636_RNA;YDEA-MONOMER;Metabolism;;;1597
243;eamA;EG11639_RNA;EG11639-MONOMER;Metabolism;;;1599
2;accA;EG11647_RNA;CARBOXYL-TRANSFERASE-ALPHA-MONOMER;Metabolism;;;1605
225;dkgB;EG11648_RNA;MONOMER0-149;Metabolism;;;1606
987;slyD;EG11663_RNA;EG11663-MONOMER;Metabolism;;;1620
108;atoD;EG11669_RNA;ATOD-MONOMER;Metabolism;;;1626
106;atoA;EG11670_RNA;ATOA-MONOMER;Metabolism;;;1627
107;atoB;EG11672_RNA;ACETYL-COA-ACETYLTRANSFER-MONOMER;Metabolism;;;1629
305;folB;EG11673_RNA;H2NEOPTERINALDOL-MONOMER;Metabolism;;;1630
729;panB;EG11675_RNA;3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER;Metabolism;;;1632
0;aas;EG11679_RNA;AAS-MONOMER;Metabolism;;;1636
534;lptB;EG11680_RNA;YHBG-MONOMER;Metabolism;;;1637
665;nepI;EG11689_RNA;YICM-MONOMER;Metabolism;;;1646
19;ade;EG11692_RNA;EG11692-MONOMER;Metabolism;;;1649
343;galM;EG11698_RNA;ALDOSE1EPIM-MONOMER;Metabolism;;;1655
406;gpmA;EG11699_RNA;GPMA-MONOMER;Metabolism;;;1656
1080;udk;EG11701_RNA;UDK-MONOMER;Metabolism;;;1658
15;acrA;EG11703_RNA;EG11703-MONOMER;Metabolism;;;1660
16;acrB;EG11704_RNA;ACRB-MONOMER;Metabolism;;;1661
1190;yieF;EG11723_RNA;EG11723-MONOMER;Metabolism;;;1676
247;efeB;EG11735_RNA;EG11735-MONOMER;Metabolism;;;1688
400;gmhB;EG11736_RNA;EG11736-MONOMER;Metabolism;;;1689
602;metI;EG11737_RNA;METI-MONOMER;Metabolism;;;1690
730;panC;EG11746_RNA;PANTOATE-BETA-ALANINE-LIG-MONOMER;Metabolism;;;1698
712;otsA;EG11751_RNA;TREHALOSE6PSYN-MONOMER;Metabolism;;;1703
713;otsB;EG11752_RNA;TREHALOSEPHOSPHASYN-MONOMER;Metabolism;;;1704
144;chaA;EG11753_RNA;CHAA-MONOMER;Metabolism;;;1705
982;setA;EG11754_RNA;B0070-MONOMER;Metabolism;;;1706
1201;yjeF;EG11758_RNA;EG11758-MONOMER;Metabolism;;;1708
700;nuoM;EG11773_RNA;NUOM-MONOMER;Metabolism;;;1721
693;nuoF;EG11774_RNA;NUOF-MONOMER;Metabolism;;;1722
532;lplA;EG11796_RNA;EG11796-MONOMER;Metabolism;;;1744
1013;talA;EG11797_RNA;TRANSALDOLA-MONOMER;Metabolism;;;1745
833;purT;EG11809_RNA;GARTRANSFORMYL2-MONOMER;Metabolism;;;1757
353;gcvP;EG11810_RNA;GCVP-MONOMER;Metabolism;;;1758
25;aidB;EG11811_RNA;EG11811-MONOMER;Metabolism;;;1759
482;ispF;EG11816_RNA;EG11816-MONOMER;Metabolism;;;1763
1011;surE;EG11817_RNA;EG11817-MONOMER;Metabolism;;;1764
834;purU;EG11819_RNA;FORMYLTHFDEFORMYL-MONOMER;Metabolism;;;1765
42;amtB;EG11821_RNA;AMTB-MONOMER;Metabolism;;;1767
838;puuB;EG11822_RNA;EG11822-MONOMER;Metabolism;;;1768
258;etk;EG11826_RNA;EG11826-MONOMER;Metabolism;;;1772
904;rpiB;EG11827_RNA;RIB5PISOMB-MONOMER;Metabolism;;;1773
860;rdoA;EG11831_RNA;EG11831-MONOMER;Metabolism;;;1777
434;hemN;EG11836_RNA;HEMN-MONOMER;Metabolism;;;1781
1193;yihS;EG11845_RNA;EG11845-MONOMER;Metabolism;;;1790
1194;yihU;EG11847_RNA;EG11847-MONOMER;Metabolism;;;1792
1195;yihV;EG11848_RNA;EG11848-MONOMER;Metabolism;;;1793
1196;yihX;EG11850_RNA;EG11850-MONOMER;Metabolism;;;1795
291;fdoI;EG11856_RNA;FDOI-MONOMER;Metabolism;;;1801
290;fdoH;EG11857_RNA;FDOH-MONOMER;Metabolism;;;1802
289;fdoG;EG11858_RNA;FDOG-MONOMER;Metabolism;;;1803
875;rhaM;EG11865_RNA;EG11865-MONOMER;Metabolism;;;1810
874;rhaD;EG11866_RNA;RHAMNULPALDOL-MONOMER;Metabolism;;;1811
872;rhaA;EG11867_RNA;RHAMNISOM-MONOMER;Metabolism;;;1812
873;rhaB;EG11868_RNA;RHAMNULOKIN-MONOMER;Metabolism;;;1813
295;fieF;EG11873_RNA;YIIP-MONOMER;Metabolism;;;1817
587;menA;EG11880_RNA;DMK-MONOMER;Metabolism;;;1824
768;plaP;EG11896_RNA;YEEF-MONOMER;Metabolism;;;1840
1197;yijE;EG11902_RNA;EG11902-MONOMER;Metabolism;;;1845
363;gldA;EG11904_RNA;GLYCDEH-MONOMER;Metabolism;;;1847
1198;yjbB;EG11919_RNA;EG11919-MONOMER;Metabolism;;;1861
47;aphA;EG11934_RNA;APHA-MONOMER;Metabolism;;;1876
1199;yjcD;EG11939_RNA;EG11939-MONOMER;Metabolism;;;1881
40;alsK;EG11956_RNA;EG11956-MONOMER;Metabolism;;;1897
39;alsE;EG11957_RNA;EG11957-MONOMER;Metabolism;;;1898
38;alsC;EG11958_RNA;YJCV-MONOMER;Metabolism;;;1899
36;alsA;EG11959_RNA;YJCW-MONOMER;Metabolism;;;1900
529;lldP;EG11961_RNA;LCTP-MONOMER;Metabolism;;;1901
528;lldD;EG11963_RNA;L-LACTDEHYDROGFMN-MONOMER;Metabolism;;;1903
702;nupC;EG11971_RNA;NUPC-MONOMER;Metabolism;;;1910
864;rfbA;EG11978_RNA;DTDPGLUCOSEPP-MONOMER;Metabolism;;;1917
866;rfbC;EG11979_RNA;DTDPDEHYDRHAMEPIM-MONOMER;Metabolism;;;1918
364;glf;EG11981_RNA;GALPMUT-MONOMER;Metabolism;;;1920
1113;wbbI;EG11983_RNA;EG11983-MONOMER;Metabolism;;;1922
1164;yeiG;EG12026_RNA;EG12026-MONOMER;Metabolism;;;1957
887;rihB;EG12030_RNA;EG12030-MONOMER;Metabolism;;;1961
819;psuG;EG12033_RNA;EG12033-MONOMER;Metabolism;;;1964
983;setB;EG12034_RNA;B2170-MONOMER;Metabolism;;;1965
1165;yejA;EG12037_RNA;YEJA-MONOMER;Metabolism;;;1968
1166;yejB;EG12038_RNA;YEJB-MONOMER;Metabolism;;;1969
1167;yejE;EG12040_RNA;YEJE-MONOMER;Metabolism;;;1970
1168;yejF;EG12041_RNA;YEJF-MONOMER;Metabolism;;;1971
626;mqo;EG12069_RNA;EG12069-MONOMER;Metabolism;;;1992
669;nikA;EG12075_RNA;NIKA-MONOMER;Metabolism;;;1995
670;nikB;EG12076_RNA;NIKB-MONOMER;Metabolism;;;1996
671;nikC;EG12077_RNA;NIKC-MONOMER;Metabolism;;;1997
672;nikD;EG12078_RNA;NIKD-MONOMER;Metabolism;;;1998
673;nikE;EG12079_RNA;NIKE-MONOMER;Metabolism;;;1999
689;nuoA;EG12082_RNA;NUOA-MONOMER;Metabolism;;;2002
690;nuoB;EG12083_RNA;NUOB-MONOMER;Metabolism;;;2003
691;nuoC;EG12084_RNA;NUOC-MONOMER;Metabolism;;;2004
692;nuoE;EG12086_RNA;NUOE-MONOMER;Metabolism;;;2005
694;nuoG;EG12087_RNA;NUOG-MONOMER;Metabolism;;;2006
695;nuoH;EG12088_RNA;NUOH-MONOMER;Metabolism;;;2007
696;nuoI;EG12089_RNA;NUOI-MONOMER;Metabolism;;;2008
697;nuoJ;EG12090_RNA;NUOJ-MONOMER;Metabolism;;;2009
698;nuoK;EG12091_RNA;NUOK-MONOMER;Metabolism;;;2010
699;nuoL;EG12092_RNA;NUOL-MONOMER;Metabolism;;;2011
701;nuoN;EG12093_RNA;NUON-MONOMER;Metabolism;;;2012
1039;tktB;EG12100_RNA;TRANSKETOII-MONOMER;Metabolism;;;2019
293;feoB;EG12102_RNA;FEOB-MONOMER;Metabolism;;;2021
1205;yjjG;EG12115_RNA;EG12115-MONOMER;Metabolism;;;2033
550;lrhA;EG12123_RNA;EG12123-MONOMER;Transcription;Regulation;;2040
443;hisJ;EG12124_RNA;HISJ-MONOMER;Metabolism;;;2041
446;hisQ;EG12125_RNA;HISQ-MONOMER;Metabolism;;;2042
1092;uraA;EG12129_RNA;URAA-MONOMER;Metabolism;;;2045
878;rhtA;EG12134_RNA;EG12134-MONOMER;Metabolism;;;2050
973;sdaC;EG12142_RNA;SDAC-MONOMER;Metabolism;;;2057
750;pgm;EG12144_RNA;PHOSPHOGLUCMUT-MONOMER;Metabolism;;;2059
344;galP;EG12148_RNA;GALP-MONOMER;Metabolism;;;2062
461;idnK;EG12152_RNA;GLUCONOKINI-MONOMER;Metabolism;;;2065
134;brnQ;EG12168_RNA;BRNQ-MONOMER;Metabolism;;;2078
431;hemF;EG12189_RNA;COPROGENOXI-MONOMER;Metabolism;;;2092
650;nadK;EG12192_RNA;MONOMER0-541;Metabolism;;;2095
1104;waaF;EG12210_RNA;EG12210-MONOMER;Metabolism;;;2111
1213;zntA;EG12215_RNA;YHHO-MONOMER;Metabolism;;;2116
14;acpT;EG12221_RNA;EG12221-MONOMER;Metabolism;;;2121
766;pitA;EG12230_RNA;PITA-MONOMER;Metabolism;;;2129
238;dtpB;EG12232_RNA;YHIP-MONOMER;Metabolism;;;2131
88;arsB;EG12236_RNA;ARSF-MONOMER;Metabolism;;;2135
89;arsC;EG12237_RNA;EG12237-MONOMER;Metabolism;;;2136
1049;treF;EG12245_RNA;TREHALACYTO-MONOMER;Metabolism;;;2143
492;kdgK;EG12253_RNA;DEOXYGLUCONOKIN-MONOMER;Metabolism;;;2150
257;eptB;EG12267_RNA;EG12267-MONOMER;Metabolism;;;2163
357;ghrB;EG12272_RNA;MONOMER-43;Metabolism;;;2168
1130;xylG;EG12275_RNA;XYLG-MONOMER;Metabolism;;;2171
1131;xylH;EG12276_RNA;XYLH-MONOMER;Metabolism;;;2172
1186;yiaK;EG12279_RNA;EG12279-MONOMER;Metabolism;;;2175
566;lyxK;EG12284_RNA;LYXK-MONOMER;Metabolism;;;2180
985;sgbH;EG12285_RNA;EG12285-MONOMER;Metabolism;;;2181
986;sgbU;EG12286_RNA;EG12286-MONOMER;Metabolism;;;2182
984;sgbE;EG12287_RNA;EG12287-MONOMER;Metabolism;;;2183
31;aldB;EG12292_RNA;ALDDEHYDROGB-MONOMER;Metabolism;;;2188
1187;yiaY;EG12293_RNA;EG12293-MONOMER;Metabolism;;;2189
407;gpmM;EG12296_RNA;PGMI-MONOMER;Metabolism;;;2192
1188;yibQ;EG12298_RNA;EG12298-MONOMER;Metabolism;;;2194
1040;tmk;EG12302_RNA;DTMPKI-MONOMER;Metabolism;;;2196
741;pepB;EG12310_RNA;EG12310-MONOMER;Metabolism;;;2202
154;coaE;EG12312_RNA;EG12312-MONOMER;Metabolism;;;2204
11;acnB;EG12316_RNA;ACONITATEDEHYDRB-MONOMER;Metabolism;;;2208
165;cueO;EG12318_RNA;EG12318-MONOMER;Metabolism;;;2209
138;can;EG12319_RNA;EG12319-MONOMER;Metabolism;;;2210
147;clcA;EG12331_RNA;YADQ-MONOMER;Metabolism;;;2221
1154;ydfG;EG12345_RNA;EG12345-MONOMER;Metabolism;;;2235
1161;yecC;EG12347_RNA;EG12347-MONOMER;Metabolism;;;2236
795;ppiC;EG12352_RNA;EG12352-MONOMER;Metabolism;;;2237
278;fadK;EG12357_RNA;EG12357-MONOMER;Metabolism;;;2240
1000;ssuB;EG12358_RNA;YCBE-MONOMER;Metabolism;;;2241
501;kduD;EG12361_RNA;KDUD-MONOMER;Metabolism;;;2244
592;menF;EG12362_RNA;MENF-MONOMER;Metabolism;;;2245
1215;znuB;EG12368_RNA;ZNUB-MONOMER;Metabolism;;;2251
681;nrdF;EG12381_RNA;NRDF-MONOMER;Metabolism;;;2263
1138;ybcF;EG12384_RNA;EG12384-MONOMER;Metabolism;;;2264
519;lhgO;EG12387_RNA;EG12387-MONOMER;Metabolism;;;2267
202;dauA;EG12392_RNA;YCHM-MONOMER;Metabolism;;;2270
630;msrB;EG12394_RNA;EG12394-MONOMER;Metabolism;;;2272
223;dhaM;EG12399_RNA;EG12399-MONOMER;Metabolism;;;2276
687;nudK;EG12410_RNA;EG12410-MONOMER;Metabolism;;;2286
867;rfbD;EG12411_RNA;DTDPDEHYRHAMREDUCT-MONOMER;Metabolism;;;2287
865;rfbB;EG12412_RNA;DTDPGLUCDEHYDRAT-MONOMER;Metabolism;;;2288
350;gatY;EG12419_RNA;TAGAALDOL2-MONOMER;Metabolism;;;2293
800;prmC;EG12424_RNA;EG12424-MONOMER;Metabolism;;;2297
1156;ydiF;EG12432_RNA;EG12432-MONOMER;Metabolism;;;2302
591;menE;EG12437_RNA;O-SUCCINYLBENZOATE-COA-LIG-MONOMER;Metabolism;;;2306
593;menH;EG12438_RNA;EG12438-MONOMER;Metabolism;;;2307
624;mpl;EG12440_RNA;EG12440-MONOMER;Metabolism;;;2309
244;eamB;EG12445_RNA;EG12445-MONOMER;Metabolism;;;2313
37;alsB;EG12458_RNA;YJCX-MONOMER;Metabolism;;;2320
1200;yjdL;EG12469_RNA;YJDL-MONOMER;Metabolism;;;2322
167;cycA;EG12504_RNA;CYCA-MONOMER;Metabolism;;;2326
609;mgtA;EG12525_RNA;MGTA-MONOMER;Metabolism;;;2331
404;gntP;EG12563_RNA;GNTP-MONOMER;Metabolism;;;2338
586;mdtM;EG12576_RNA;YJIO-MONOMER;Metabolism;;;2339
583;mdoB;EG12591_RNA;PGLYCEROLTRANSI-MONOMER;Metabolism;;;2341
1206;yjjX;EG12600_RNA;EG12600-MONOMER;Metabolism;;;2342
267;fabF;EG12606_RNA;3-OXOACYL-ACP-SYNTHII-MONOMER;Metabolism;;;2344
233;dppB;EG12625_RNA;DPPB-MONOMER;Metabolism;;;2352
234;dppC;EG12626_RNA;DPPC-MONOMER;Metabolism;;;2353
235;dppD;EG12627_RNA;DPPD-MONOMER;Metabolism;;;2354
236;dppF;EG12628_RNA;DPPF-MONOMER;Metabolism;;;2355
403;gntK;EG12629_RNA;GLUCONOKINII-MONOMER;Metabolism;;;2356
684;nudF;EG12633_RNA;EG12633-MONOMER;Metabolism;;;2359
580;mdaB;EG12656_RNA;EG12656-MONOMER;Metabolism;;;2361
390;gltJ;EG12661_RNA;GLTJ-MONOMER;Metabolism;;;2364
391;gltK;EG12662_RNA;GLTK-MONOMER;Metabolism;;;2365
392;gltL;EG12663_RNA;GLTL-MONOMER;Metabolism;;;2366
544;lpxH;EG12666_RNA;EG12666-MONOMER;Metabolism;;;2367
688;nudL;EG12693_RNA;EG12693-MONOMER;Metabolism;;;2373
560;luxS;EG12712_RNA;EG12712-MONOMER;Metabolism;;;2384
1152;yddG;EG12713_RNA;EG12713-MONOMER;Metabolism;;;2385
241;dxr;EG12715_RNA;DXPREDISOM-MONOMER;Metabolism;;;2386
998;sstT;EG12732_RNA;YGJU-MONOMER;Metabolism;;;2389
1094;uxaA;EG12734_RNA;ALTRODEHYDRAT-MONOMER;Metabolism;;;2390
263;exuT;EG12738_RNA;EXUT-MONOMER;Metabolism;;;2391
488;kbaY;EG12768_RNA;TAGAALDOL1-MONOMER;Metabolism;;;2396
418;gss;EG12882_RNA;GSP-MONOMER;Metabolism;;;2436
767;pitB;EG12883_RNA;PITB-MONOMER;Metabolism;;;2437
366;glk;EG12957_RNA;GLUCOKIN-MONOMER;Metabolism;;;2441
1122;xapB;EG13159_RNA;XAPB-MONOMER;Metabolism;;;2443
52;aqpZ;EG13270_RNA;AQPZ-MONOMER;Metabolism;;;2450
204;dctA;EG20044_RNA;DCTA-MONOMER;Metabolism;;;2452
219;dgoA;EG20049_RNA;DEHYDDEOXPHOSGALACT-ALDOL-MONOMER;Metabolism;;;2453
359;glcB;EG20080_RNA;MALSYNG-MONOMER;Metabolism;;;2456
409;gpsA;EG20091_RNA;GLYC3PDEHYDROGBIOSYN-MONOMER;Metabolism;;;2457
449;hpt;EG20098_RNA;HYPOXANPRIBOSYLTRAN-MONOMER;Metabolism;;;2458
502;kefB;EG20110_RNA;KEFB-MONOMER;Metabolism;;;2459
820;pta;EG20173_RNA;PHOSACETYLTRANS-MONOMER;Metabolism;;;2460
1098;uxuB;EG20248_RNA;MANNONOXIDOREDUCT-MONOMER;Metabolism;;;2461
1129;xylF;EG20252_RNA;XYLF-MONOMER;Metabolism;;;2463
680;nrdE;EG20257_RNA;NRDE-MONOMER;Metabolism;;;2465
923;rplU;EG50001_RNA;EG50001-MONOMER;Translation;;;2466
928;rpmA;EG50002_RNA;EG50002-MONOMER;Translation;;;2467
260;eutB;EG50006_RNA;EUTB-MONOMER;Metabolism;;;2471
261;eutC;EG50007_RNA;EUTC-MONOMER;Metabolism;;;2472
338;gadA;EG50009_RNA;GLUTDECARBOXA-MONOMER;Metabolism;;;2474
323;frmA;EG50010_RNA;ADHC-MONOMER;Metabolism;;;2475
311;folP;EG50011_RNA;H2PTEROATESYNTH-MONOMER;Metabolism;;;2476
496;kdpF;G0-10439_RNA;MONOMER0-12;Metabolism;;;2489
1140;ybgT;G0-10441_RNA;MONOMER0-2663;Metabolism;;;2491
362;glcF;G0-8601_RNA;MONOMER0-561;Metabolism;;;2600
660;nanT;G436_RNA;NANT-MONOMER;Metabolism;;;2645
567;maa;G58_RNA;MALTACETYLTRAN-MONOMER;Metabolism;;;2647
510;ldhA;G592_RNA;DLACTDEHYDROGNAD-MONOMER;Metabolism;;;2648
485;ispU;G6092_RNA;UPPSYN-MONOMER;Metabolism;;;2656
509;ldcC;G6094_RNA;LDC2-MONOMER;Metabolism;;;2658
1037;tilS;G6096_RNA;G6096-MONOMER;Metabolism;;;2660
376;gloB;G6099_RNA;GLYOXII-MONOMER;Metabolism;;;2663
275;fadE;G6105_RNA;ACYLCOADEHYDROG-MONOMER;Metabolism;;;2669
530;lpcA;G6106_RNA;G6106-MONOMER;Metabolism;;;2670
619;mmuM;G6136_RNA;MMUM-MONOMER;Metabolism;;;2700
1133;yagE;G6140_RNA;G6140-MONOMER;Metabolism;;;2704
1134;yagF;G6141_RNA;G6141-MONOMER;Metabolism;;;2705
1135;yahK;G6190_RNA;G6190-MONOMER;Metabolism;;;2750
809;prpB;G6196_RNA;G6196-MONOMER;Metabolism;;;2756
810;prpC;G6198_RNA;G6198-MONOMER;Metabolism;;;2757
811;prpD;G6199_RNA;G6199-MONOMER;Metabolism;;;2758
812;prpE;G6200_RNA;G6200-MONOMER;Metabolism;;;2759
611;mhpE;G6205_RNA;MHPELY-MONOMER;Metabolism;;;2761
324;frmB;G6208_RNA;G6208-MONOMER;Metabolism;;;2764
1030;thiL;G6234_RNA;THI-P-KIN-MONOMER;Metabolism;;;2786
242;dxs;G6237_RNA;DXS-MONOMER;Metabolism;;;2788
1029;thiI;G6238_RNA;THII-MONOMER;Metabolism;;;2789
731;panE;G6239_RNA;2-DEHYDROPANTOATE-REDUCT-MONOMER;Metabolism;;;2790
280;fadM;G6244_RNA;G6244-MONOMER;Metabolism;;;2795
156;cof;G6246_RNA;G6246-MONOMER;Metabolism;;;2797
157;copA;G6260_RNA;G6260-MONOMER;Metabolism;;;2808
1136;ybaS;G6261_RNA;G6261-MONOMER;Metabolism;;;2809
1137;ybbO;G6269_RNA;G6269-MONOMER;Metabolism;;;2817
456;hyi;G6277_RNA;G6277-MONOMER;Metabolism;;;2824
396;glxR;G6278_RNA;G6278-MONOMER;Metabolism;;;2825
32;allB;G6281_RNA;G6281-MONOMER;Metabolism;;;2827
395;glxK;G6283_RNA;GLY3KIN-MONOMER;Metabolism;;;2829
34;allE;G6284_RNA;G6284-MONOMER;Metabolism;;;2830
33;allC;G6285_RNA;G6285-MONOMER;Metabolism;;;2831
962;rrrD;G6310_RNA;G6310-MONOMER;Metabolism;;;2853
1139;ybdL;G6329_RNA;G6329-MONOMER;Metabolism;;;2871
