;Gene;RNA;ID;Monomer;ID.1;Process;KO index
782;potD;EG10752_RNA;POTD-MONOMER;Metabolism;;;758
783;potE;EG10753_RNA;POTE-MONOMER;Metabolism;;;759
788;poxB;EG10754_RNA;PYRUVOXID-MONOMER;Metabolism;;;760
789;ppa;EG10755_RNA;INORGPYROPHOSPHAT-MONOMER;Metabolism;;;761
790;ppc;EG10756_RNA;PEPCARBOX-MONOMER;Metabolism;;;762
793;ppiA;EG10757_RNA;EG10757-MONOMER;Metabolism;;;763
794;ppiB;EG10758_RNA;EG10758-MONOMER;Metabolism;;;764
797;ppsA;EG10759_RNA;PEPSYNTH-MONOMER;Metabolism;;;765
801;proA;EG10767_RNA;GLUTSEMIALDEHYDROG-MONOMER;Metabolism;;;773
802;proB;EG10768_RNA;GLUTKIN-MONOMER;Metabolism;;;774
803;proC;EG10769_RNA;PYRROLINECARBREDUCT-MONOMER;Metabolism;;;775
805;proS;EG10770_RNA;PROS-MONOMER;Metabolism;;;776
806;proV;EG10771_RNA;PROV-MONOMER;Metabolism;;;777
807;proW;EG10772_RNA;PROW-MONOMER;Metabolism;;;778
808;proX;EG10773_RNA;PROX-MONOMER;Metabolism;;;779
813;prs;EG10774_RNA;PRPPSYN-MONOMER;Metabolism;;;780
814;pssA;EG10781_RNA;PHOSPHASERSYN-MONOMER;Metabolism;;;787
815;pstA;EG10782_RNA;PSTA-MONOMER;Metabolism;;;788
816;pstB;EG10783_RNA;PSTB-MONOMER;Metabolism;;;789
817;pstC;EG10784_RNA;PSTC-MONOMER;Metabolism;;;790
821;ptsG;EG10787_RNA;PTSG-MONOMER;Metabolism;;;793
822;purA;EG10790_RNA;ADENYLOSUCCINATE-SYN-MONOMER;Metabolism;;;796
824;purC;EG10791_RNA;SAICARSYN-MONOMER;Metabolism;;;797
825;purD;EG10792_RNA;GLYCRIBONUCSYN-MONOMER;Metabolism;;;798
826;purE;EG10793_RNA;PURE-MONOMER;Metabolism;;;799
827;purF;EG10794_RNA;PRPPAMIDOTRANS-MONOMER;Metabolism;;;800
828;purH;EG10795_RNA;AICARTRANSIMPCYCLO-CPLX;Metabolism;;;801
829;purK;EG10796_RNA;PURK-MONOMER;Metabolism;;;802
830;purL;EG10797_RNA;FGAMSYN-MONOMER;Metabolism;;;803
831;purM;EG10798_RNA;AIRS-MONOMER;Metabolism;;;804
832;purN;EG10799_RNA;GART-MONOMER;Metabolism;;;805
835;putA;EG10801_RNA;PUTA-MONOMER;Metabolism,;Transcription;Regulation;807
836;putP;EG10802_RNA;PUTP-MONOMER;Metabolism;;;808
843;pykA;EG10803_RNA;PKII-MONOMER;Metabolism;;;809
844;pykF;EG10804_RNA;PKI-MONOMER;Metabolism;;;810
845;pyrB;EG10805_RNA;ASPCARBCAT-MONOMER;Metabolism;;;811
846;pyrC;EG10806_RNA;DIHYDROOROT-MONOMER;Metabolism;;;812
847;pyrD;EG10807_RNA;DIHYDROOROTOX-MONOMER;Metabolism;;;813
848;pyrE;EG10808_RNA;OROPRIBTRANS-MONOMER;Metabolism;;;814
849;pyrF;EG10809_RNA;OROTPDECARB-MONOMER;Metabolism;;;815
850;pyrG;EG10810_RNA;CTPSYN-MONOMER;Metabolism;;;816
852;pyrI;EG10811_RNA;ASPCARBREG-MONOMER;Metabolism;;;817
855;rbsD;EG10817_RNA;EG10817-MONOMER;Metabolism;;;823
856;rbsK;EG10818_RNA;RIBOKIN-MONOMER;Metabolism;;;824
858;rcsB;EG10821_RNA;RCSB-MONOMER;Transcription;Regulation;;827
861;relA;EG10835_RNA;RELA-MONOMER;Metabolism;;;841
862;rfaD;EG10838_RNA;EG10838-MONOMER;Metabolism;;;844
877;rhlB;EG10844_RNA;EG10844-MONOMER;Metabolism;;;850
537;lptE;EG10855_RNA;EG10855-MONOMER;Metabolism;;;861
889;rna;EG10856_RNA;EG10856-MONOMER;RNA;Decay;;862
891;rnc;EG10857_RNA;EG10857-MONOMER;RNA;Decay;;863
892;rnd;EG10858_RNA;EG10858-MONOMER;RNA;Decay;;864
893;rne;EG10859_RNA;EG10859-MONOMER;Metabolism,;RNA;Decay;865
895;rnhA;EG10860_RNA;EG10860-MONOMER;RNA;Decay;;866
896;rnhB;EG10861_RNA;EG10861-MONOMER;RNA;Decay;;867
898;rnpA;EG10862_RNA;EG10862-MONOMER;RNA;Decay;;868
902;rph;EG10863_RNA;EG10863-MONOMER;RNA;Decay;;869
905;rplA;EG10864_RNA;EG10864-MONOMER;Translation;;;870
906;rplB;EG10865_RNA;EG10865-MONOMER;Translation;;;871
907;rplC;EG10866_RNA;EG10866-MONOMER;Translation;;;872
908;rplD;EG10867_RNA;EG10867-MONOMER;Translation;;;873
909;rplE;EG10868_RNA;EG10868-MONOMER;Translation;;;874
910;rplF;EG10869_RNA;EG10869-MONOMER;Translation;;;875
911;rplI;EG10870_RNA;EG10870-MONOMER;Translation;;;876
912;rplJ;EG10871_RNA;EG10871-MONOMER;Translation;;;877
913;rplK;EG10872_RNA;EG10872-MONOMER;Translation;;;878
914;rplL;EG10873_RNA;EG10873-MONOMER;Translation;;;879
915;rplM;EG10874_RNA;EG10874-MONOMER;Translation;;;880
916;rplN;EG10875_RNA;EG10875-MONOMER;Translation;;;881
917;rplO;EG10876_RNA;EG10876-MONOMER;Translation;;;882
918;rplP;EG10877_RNA;EG10877-MONOMER;Translation;;;883
919;rplQ;EG10878_RNA;EG10878-MONOMER;Translation;;;884
920;rplR;EG10879_RNA;EG10879-MONOMER;Translation;;;885
921;rplS;EG10880_RNA;EG10880-MONOMER;Translation;;;886
922;rplT;EG10881_RNA;EG10881-MONOMER;Translation;;;887
924;rplV;EG10882_RNA;EG10882-MONOMER;Translation;;;888
925;rplW;EG10883_RNA;EG10883-MONOMER;Translation;;;889
926;rplX;EG10884_RNA;EG10884-MONOMER;Translation;;;890
927;rplY;EG10885_RNA;EG10885-MONOMER;Translation;;;891
929;rpmB;EG10886_RNA;EG10886-MONOMER;Translation;;;892
930;rpmC;EG10887_RNA;EG10887-MONOMER;Translation;;;893
931;rpmD;EG10888_RNA;EG10888-MONOMER;Translation;;;894
932;rpmE;EG10889_RNA;EG10889-MONOMER;Translation;;;895
933;rpmF;EG10890_RNA;EG10890-MONOMER;Translation;;;896
934;rpmG;EG10891_RNA;EG10891-MONOMER;Translation;;;897
935;rpmH;EG10892_RNA;EG10892-MONOMER;Translation;;;898
938;rpoA;EG10893_RNA;EG10893-MONOMER;Transcription;;;899
939;rpoB;EG10894_RNA;RPOB-MONOMER;Transcription;;;900
940;rpoC;EG10895_RNA;RPOC-MONOMER;Transcription;;;901
941;rpsA;EG10900_RNA;EG10900-MONOMER;Translation;;;906
942;rpsB;EG10901_RNA;EG10901-MONOMER;Translation;;;907
943;rpsC;EG10902_RNA;EG10902-MONOMER;Translation;;;908
944;rpsD;EG10903_RNA;EG10903-MONOMER;Translation;;;909
945;rpsE;EG10904_RNA;EG10904-MONOMER;Translation;;;910
946;rpsF;EG10905_RNA;EG10905-MONOMER;Translation;;;911
947;rpsG;EG10906_RNA;EG10906-MONOMER;Translation;;;912
948;rpsH;EG10907_RNA;EG10907-MONOMER;Translation;;;913
949;rpsI;EG10908_RNA;EG10908-MONOMER;Translation;;;914
950;rpsJ;EG10909_RNA;EG10909-MONOMER;Translation;;;915
951;rpsK;EG10910_RNA;EG10910-MONOMER;Translation;;;916
952;rpsL;EG10911_RNA;EG10911-MONOMER;Translation;;;917
953;rpsM;EG10912_RNA;EG10912-MONOMER;Translation;;;918
954;rpsN;EG10913_RNA;EG10913-MONOMER;Translation;;;919
955;rpsO;EG10914_RNA;EG10914-MONOMER;Translation;;;920
956;rpsP;EG10915_RNA;EG10915-MONOMER;Translation;;;921
957;rpsQ;EG10916_RNA;EG10916-MONOMER;Translation;;;922
958;rpsR;EG10917_RNA;EG10917-MONOMER;Translation;;;923
959;rpsS;EG10918_RNA;EG10918-MONOMER;Translation;;;924
960;rpsT;EG10919_RNA;EG10919-MONOMER;Translation;;;925
